"link","Link_url","count"
"[Rd] Problem using ofstream in C++ class in package for MacOS X ","https://stat.ethz.ch/pipermail/r-devel/2007-February/044522.html",16
"[Rd] R/C++/memory leaks ","https://stat.ethz.ch/pipermail/r-devel/2007-February/044770.html",16
"[Rd] Bridging R to OpenOffice ","https://stat.ethz.ch/pipermail/r-devel/2007-March/045079.html",16
"[Rd] library path in Rd link ","https://stat.ethz.ch/pipermail/r-devel/2007-November/047455.html",16
"[Rd] Saving Graphics File as .ps or .pdf (PR#10403) ","https://stat.ethz.ch/pipermail/r-devel/2007-November/047347.html",16
"[Rd] Roxygen ","https://stat.ethz.ch/pipermail/r-devel/2008-March/048718.html",16
"[Rd] RFC: What should ?foo do? ","https://stat.ethz.ch/pipermail/r-devel/2008-April/049284.html",16
"[Rd] significant digits (PR#9682) ","https://stat.ethz.ch/pipermail/r-devel/2008-June/049817.html",16
"[Rd] is.matrix ","https://stat.ethz.ch/pipermail/r-devel/2008-November/051236.html",16
"[Rd] Inaccurate complex arithmetic of R (Matlab is accurate) ","https://stat.ethz.ch/pipermail/r-devel/2009-August/054194.html",16
"[Rd] unit testing for R packages? ","https://stat.ethz.ch/pipermail/r-devel/2009-October/055057.html",16
"[Rd] Using SVN + SSH on windows ","https://stat.ethz.ch/pipermail/r-devel/2010-March/057053.html",16
"[Rd] FW: [Rcpp-devel] Question on 5.6 Interfacing C++ code ","https://stat.ethz.ch/pipermail/r-devel/2011-April/060647.html",16
"[Rd] How to create vignette.pdf for R-2.13.0? ","https://stat.ethz.ch/pipermail/r-devel/2011-April/060688.html",16
"[Rd] Rtools questions ","https://stat.ethz.ch/pipermail/r-devel/2011-April/060436.html",16
"[Rd] How to create vignette.pdf for R-2.13.0? ","https://stat.ethz.ch/pipermail/r-devel/2011-May/060775.html",16
"[Rd] NAMESPACE file generation issue R 2.14.0 on Debian Squeeze ","https://stat.ethz.ch/pipermail/r-devel/2011-November/062483.html",16
"[Rd] Bounty on Error Checking ","https://stat.ethz.ch/pipermail/r-devel/2013-January/065540.html",16
"[Rd] Recommended way to call/import functions from a Suggested	package ","https://stat.ethz.ch/pipermail/r-devel/2013-February/065946.html",16
"[Rd] [BioC] enabling reproducible research & R package management & install.package.version & BiocLite ","https://stat.ethz.ch/pipermail/r-devel/2013-March/066036.html",16
"[Rd] R CMD INSTALL and file permission settings ","https://stat.ethz.ch/pipermail/r-devel/2013-June/066786.html",16
"[Rd] R-3.1.0 OSX Snow Leopard installs old binary ","https://stat.ethz.ch/pipermail/r-devel/2014-April/068807.html",16
"[Rd] precedence (was 'historical NA question') ","https://stat.ethz.ch/pipermail/r-devel/2014-May/068990.html",16
"[Rd] R CMD check warning with S3 method ","https://stat.ethz.ch/pipermail/r-devel/2014-June/069234.html",16
"[Rd] r wiki ","https://stat.ethz.ch/pipermail/r-devel/2014-September/069744.html",16
"[Rd] [PATCH] Makefile: add support for git svn clones ","https://stat.ethz.ch/pipermail/r-devel/2015-January/070419.html",16
"[Rd] Programming Tools CTV ","https://stat.ethz.ch/pipermail/r-devel/2015-January/070481.html",16
"[Rd] RFC: getifexists() {was [Bug 16065] ""exists"" ...} ","https://stat.ethz.ch/pipermail/r-devel/2015-January/070361.html",16
"[Rd] Assistance much appreciated ","https://stat.ethz.ch/pipermail/r-devel/2015-December/072128.html",16
"[Rd] can we override ""if"" in R? ","https://stat.ethz.ch/pipermail/r-devel/2017-March/073826.html",16
"[Rd] write.csv ","https://stat.ethz.ch/pipermail/r-devel/2017-July/074566.html",16
"[Rd] Wrongly converging glm() ","https://stat.ethz.ch/pipermail/r-devel/2017-July/074666.html",16
"[Rd] Where does L come from? ","https://stat.ethz.ch/pipermail/r-devel/2018-August/076656.html",16
"[Rd] Runnable R packages ","https://stat.ethz.ch/pipermail/r-devel/2019-February/077225.html",16
"R's UseMethod() does not dispatch on changed class() (PR#167) ","https://stat.ethz.ch/pipermail/r-devel/1999-April/019046.html",15
"0.65/AIX ","https://stat.ethz.ch/pipermail/r-devel/1999-July/019339.html",15
"[Rd] R Newsletter:  1st Call for Articles ","https://stat.ethz.ch/pipermail/r-devel/2000-December/021708.html",15
"behavior of = ","https://stat.ethz.ch/pipermail/r-devel/2002-November/025381.html",15
"[Rd] Flat documentation? ","https://stat.ethz.ch/pipermail/r-devel/2002-December/025602.html",15
"[Rd] Another wishlist for R ","https://stat.ethz.ch/pipermail/r-devel/2004-January/028486.html",15
"[Rd] trellis.device in .First (PR#6812) ","https://stat.ethz.ch/pipermail/r-devel/2004-April/029481.html",15
"[Rd] Speeding up library loading ","https://stat.ethz.ch/pipermail/r-devel/2005-April/032962.html",15
"[Rd] R, Wine, and multi-threadedness. ","https://stat.ethz.ch/pipermail/r-devel/2005-October/035025.html",15
"[Rd] data frame subset patch, take 2 ","https://stat.ethz.ch/pipermail/r-devel/2006-December/043884.html",15
"[Rd] C vs. C++ as learning and development tool for R ","https://stat.ethz.ch/pipermail/r-devel/2007-January/044347.html",15
"[Rd] eigen in beta ","https://stat.ethz.ch/pipermail/r-devel/2007-April/045312.html",15
"[Rd] [patch] add=TRUE in plot.default() ","https://stat.ethz.ch/pipermail/r-devel/2008-March/048628.html",15
"[Rd] R, Macports and C++ streams ","https://stat.ethz.ch/pipermail/r-devel/2008-July/050295.html",15
"[Rd] Google Summer of Code 2009 ","https://stat.ethz.ch/pipermail/r-devel/2009-February/052190.html",15
"[Rd] Show location of workspace image on quit? ","https://stat.ethz.ch/pipermail/r-devel/2009-June/053681.html",15
"[Rd] Link to pdf documentation from other package ? ","https://stat.ethz.ch/pipermail/r-devel/2009-November/055688.html",15
"[Rd] Surprising length() of POSIXlt vector (PR#14073) ","https://stat.ethz.ch/pipermail/r-devel/2009-November/055717.html",15
"[Rd] The default behaviour of a missing entry in an environment ","https://stat.ethz.ch/pipermail/r-devel/2009-November/055608.html",15
"[Rd] optional package dependency ","https://stat.ethz.ch/pipermail/r-devel/2010-January/056349.html",15
"[Rd] Package development process? ","https://stat.ethz.ch/pipermail/r-devel/2010-June/057707.html",15
"[Rd] Does anyone use Sweave (RweaveLatex) option ""expand=FALSE""? ","https://stat.ethz.ch/pipermail/r-devel/2010-August/058175.html",15
"[Rd] core Matrix package segfaulted on R CMD check --use-gct ","https://stat.ethz.ch/pipermail/r-devel/2011-April/060447.html",15
"[Rd] [datatable-help]  speeding up perception ","https://stat.ethz.ch/pipermail/r-devel/2011-July/061444.html",15
"[Rd] NOTE: unstated dependencies in examples ","https://stat.ethz.ch/pipermail/r-devel/2011-October/062230.html",15
"[Rd] Silently loading and Depends: versus NAMESPACE imports ","https://stat.ethz.ch/pipermail/r-devel/2012-February/063364.html",15
"[Rd] R datasets ownership(copyright) and license ","https://stat.ethz.ch/pipermail/r-devel/2012-April/063762.html",15
"[Rd] 7 arguments passed to .Internal(identical) which requires 6 ","https://stat.ethz.ch/pipermail/r-devel/2012-June/064238.html",15
"[Rd] include dll in R-package ","https://stat.ethz.ch/pipermail/r-devel/2012-August/064683.html",15
"[Rd] Implications of a Dependency on a GPLed Package ","https://stat.ethz.ch/pipermail/r-devel/2013-January/065681.html",15
"[Rd] Matrix does not build with R trunk since Oct. ","https://stat.ethz.ch/pipermail/r-devel/2013-February/065858.html",15
"[Rd] stringsAsFactors ","https://stat.ethz.ch/pipermail/r-devel/2013-February/065797.html",15
"[Rd] eigen(symmetric=TRUE) for complex matrices ","https://stat.ethz.ch/pipermail/r-devel/2013-June/066826.html",15
"[Rd] Depending/Importing data only packages ","https://stat.ethz.ch/pipermail/r-devel/2013-December/068041.html",15
"[Rd] Sweave trims console output in ""tex"" mode ","https://stat.ethz.ch/pipermail/r-devel/2014-January/068143.html",15
"[Rd] R 3.1.1 and 3.1.2 both fail their test suites ","https://stat.ethz.ch/pipermail/r-devel/2014-November/070028.html",15
"[Rd] UTF8 markdown vignette ","https://stat.ethz.ch/pipermail/r-devel/2014-December/070247.html",15
"[Rd] R CMD check and missing imports from base packages ","https://stat.ethz.ch/pipermail/r-devel/2015-April/071036.html",15
"[Rd] (no) circular dependency ","https://stat.ethz.ch/pipermail/r-devel/2016-April/072546.html",15
"[Rd] R process killed when allocating too large matrix (Mac OS	X) ","https://stat.ethz.ch/pipermail/r-devel/2016-May/072657.html",15
"[Rd] On implementing zero-overhead code reuse ","https://stat.ethz.ch/pipermail/r-devel/2016-October/073220.html",15
"[Rd] Running package tests and not stop on first fail ","https://stat.ethz.ch/pipermail/r-devel/2016-November/073340.html",15
"[Rd] shared libraries: missing soname ","https://stat.ethz.ch/pipermail/r-devel/2016-November/073397.html",15
"[Rd] Very hard to reproduce bug (?) in R-devel ","https://stat.ethz.ch/pipermail/r-devel/2017-April/074020.html",15
"[Rd] lm() gives different results to lm.ridge() and SPSS ","https://stat.ethz.ch/pipermail/r-devel/2017-May/074189.html",15
"[Rd] binary form of is() contradicts its unary form ","https://stat.ethz.ch/pipermail/r-devel/2017-November/075172.html",15
"[Rd] Extreme bunching of random values from runif with Mersenne-Twister seed ","https://stat.ethz.ch/pipermail/r-devel/2017-November/075096.html",15
"[Rd]  Duplicate column names created by base::merge() when by.x has the same name as a column in y ","https://stat.ethz.ch/pipermail/r-devel/2018-February/075591.html",15
"[Rd] R Compilation gets stuck on Windows 64 ","https://stat.ethz.ch/pipermail/r-devel/2018-February/075552.html",15
"[Rd] Documentation examples for lm and glm ","https://stat.ethz.ch/pipermail/r-devel/2018-December/077109.html",15
"[Rd] Discrepancy between is.list() and is(x, ""list"") ","https://stat.ethz.ch/pipermail/r-devel/2019-March/077457.html",15
